pagename_airesante,province,antenne,zonesante,airesante,pagename_province,pagename_antenne,pagename_zonesante,iso3,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Bas-Uele_Buta_Aketi_Aboso,Bas-Uele,Buta,Aketi,Aboso,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_9A2F80D4F0,2025,CIESIN,multiple data sources,Bas-Uele_001,1.502585484332091,0.097667524219457,22.978879759000051,2.762516553000069,23.371313287000078,3.210704773000032
COD_Bas-Uele_Buta_Aketi_Ahaupa,Bas-Uele,Buta,Aketi,Ahaupa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_3ABC71C113,2025,CIESIN,multiple data sources,Bas-Uele_001,2.622432315052173,0.196135314561688,23.657733400000041,2.075781061000043,24.362611781000055,2.741305200000056
COD_Bas-Uele_Buta_Aketi_Andea,Bas-Uele,Buta,Aketi,Andea,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_6B8001BB98,2025,CIESIN,multiple data sources,Bas-Uele_001,1.373752352987643,0.047079486352121,23.382869500000027,2.427921195000067,23.736944500000050,2.677609400000051
COD_Bas-Uele_Buta_Aketi_Azande,Bas-Uele,Buta,Aketi,Azande,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_FF6EDCB3D2,2025,CIESIN,multiple data sources,Bas-Uele_001,0.166753821691744,0.000862690535676,23.781111400000043,2.727493900000070,23.829766300000074,2.782587364000051
COD_Bas-Uele_Buta_Aketi_Bobema,Bas-Uele,Buta,Aketi,Bobema,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_D4F7542BA2,2025,CIESIN,multiple data sources,Bas-Uele_001,0.579411010161615,0.014391019736649,23.017769645000044,2.745273500000053,23.221245740000029,2.870689593000066
COD_Bas-Uele_Buta_Aketi_Boganga,Bas-Uele,Buta,Aketi,Boganga,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_36B5E2F33F,2025,CIESIN,multiple data sources,Bas-Uele_001,1.330328654175834,0.058776108926081,23.264966000000072,2.576687800000059,23.629685700000039,2.914079693000076
COD_Bas-Uele_Buta_Aketi_Bombongolo,Bas-Uele,Buta,Aketi,Bombongolo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_FD02F02132,2025,CIESIN,multiple data sources,Bas-Uele_001,1.332834210456366,0.075717353625173,23.205372938000039,2.817682283000067,23.562693251000042,3.220046288000049
COD_Bas-Uele_Buta_Aketi_Bondunga,Bas-Uele,Buta,Aketi,Bondunga,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_08E2266857,2025,CIESIN,multiple data sources,Bas-Uele_001,1.509930671296829,0.073955304199528,23.485559337000041,2.648188700000048,23.768057904000045,3.107832328000029
COD_Bas-Uele_Buta_Aketi_Bonzengo,Bas-Uele,Buta,Aketi,Bonzengo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_31303CA786,2025,CIESIN,multiple data sources,Bas-Uele_001,1.022901339642323,0.039763546877801,23.172419100000070,2.523097880000023,23.417755400000033,2.795425800000032
COD_Bas-Uele_Buta_Aketi_Bunduki,Bas-Uele,Buta,Aketi,Bunduki,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_35EEA92E42,2025,CIESIN,multiple data sources,Bas-Uele_001,0.796111117642975,0.016528767128118,23.086106304000054,2.455561275000036,23.337549989000024,2.642368707000060
COD_Bas-Uele_Buta_Aketi_Dulia,Bas-Uele,Buta,Aketi,Dulia,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_9843D8BD1A,2025,CIESIN,multiple data sources,Bas-Uele_001,1.773533695752897,0.092214484045006,24.037377800000058,2.834195900000054,24.417666915000041,3.234199800000056
COD_Bas-Uele_Buta_Aketi_Itimbiri,Bas-Uele,Buta,Aketi,Itimbiri,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_915A1279C5,2025,CIESIN,multiple data sources,Bas-Uele_001,0.115330105364091,0.000586712271629,23.743196331000036,2.725358900000060,23.783734726000034,2.748383029000024
COD_Bas-Uele_Buta_Aketi_Makoko,Bas-Uele,Buta,Aketi,Makoko,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_E0733E1BE9,2025,CIESIN,multiple data sources,Bas-Uele_001,2.554587824679610,0.241210598661060,23.785707430000059,2.358184534000031,24.562792829000045,2.902814101000047
COD_Bas-Uele_Buta_Aketi_Manginanginda,Bas-Uele,Buta,Aketi,Manginanginda,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_E732316C96,2025,CIESIN,multiple data sources,Bas-Uele_001,0.129518387724625,0.000579827724521,23.781161185000030,2.737494300000037,23.805881773000067,2.790215667000041
COD_Bas-Uele_Buta_Aketi_Mombwasa,Bas-Uele,Buta,Aketi,Mombwasa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_CA9BA60DE7,2025,CIESIN,multiple data sources,Bas-Uele_001,1.222424513037087,0.049496238140301,22.879201235000039,2.573488115000032,23.173277400000075,2.883777041000030
COD_Bas-Uele_Buta_Aketi_Ngbongade,Bas-Uele,Buta,Aketi,Ngbongade,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_3D4ED73B35,2025,CIESIN,multiple data sources,Bas-Uele_001,0.738726085150906,0.016511760270544,23.663145411000073,2.741921575000049,23.824345100000073,2.999393033000047
COD_Bas-Uele_Buta_Aketi_Ngombo,Bas-Uele,Buta,Aketi,Ngombo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_74C90835D5,2025,CIESIN,multiple data sources,Bas-Uele_001,0.856542947544147,0.025687765389460,24.292600700000037,2.775879600000053,24.522611300000051,2.972184601000038
COD_Bas-Uele_Buta_Aketi_Pesana,Bas-Uele,Buta,Aketi,Pesana,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_A326CFACB1,2025,CIESIN,multiple data sources,Bas-Uele_001,1.252191259452382,0.076474646161011,23.552639939000073,2.130744316000062,23.878835440000046,2.511199232000024
COD_Bas-Uele_Buta_Aketi_Wela,Bas-Uele,Buta,Aketi,Wela,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_B82D8C14E0,2025,CIESIN,multiple data sources,Bas-Uele_001,1.216797835154005,0.059037621353658,23.704065346000050,2.771199983000031,24.085367900000051,3.057392229000072
COD_Bas-Uele_Buta_Ango_Api,Bas-Uele,Buta,Ango,Api,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_2A4436D3FA,2025,CIESIN,multiple data sources,Bas-Uele_001,1.144478021027644,0.036610046732731,25.284011500000076,3.511699551000049,25.529167667000024,3.800820280000039
COD_Bas-Uele_Buta_Ango_Assa,Bas-Uele,Buta,Ango,Assa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_F5C66200BF,2025,CIESIN,multiple data sources,Bas-Uele_001,5.640443088160872,0.578540125945815,25.308082200000058,4.461404148000042,26.363123851000068,5.392002600000069
COD_Bas-Uele_Buta_Ango_Baepulu,Bas-Uele,Buta,Ango,Baepulu,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_B77BCD5F2D,2025,CIESIN,multiple data sources,Bas-Uele_001,1.515868992236970,0.073620323917910,25.768477532000077,3.690677852000022,26.071445722000078,4.122254508000026
COD_Bas-Uele_Buta_Ango_Banda,Bas-Uele,Buta,Ango,Banda,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_C5803CBDB4,2025,CIESIN,multiple data sources,Bas-Uele_001,2.067837897261926,0.145747041148604,26.970518048000031,3.953054600000030,27.495030216000032,4.436424019000071
COD_Bas-Uele_Buta_Ango_Bandueli,Bas-Uele,Buta,Ango,Bandueli,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_F87404F031,2025,CIESIN,multiple data sources,Bas-Uele_001,1.025349607705232,0.029599869790867,26.196088574000044,3.790712242000041,26.391852795000034,4.117945875000032
COD_Bas-Uele_Buta_Ango_Bayule,Bas-Uele,Buta,Ango,Bayule,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_A482652C31,2025,CIESIN,multiple data sources,Bas-Uele_001,1.250172627295769,0.059476037032097,25.984827683000049,3.798195586000020,26.258880288000057,4.242946825000047
COD_Bas-Uele_Buta_Ango_Bokoyo,Bas-Uele,Buta,Ango,Bokoyo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_B3CB76B2B8,2025,CIESIN,multiple data sources,Bas-Uele_001,4.985754010766232,0.401140433261611,26.291524282000069,4.349114286000031,27.046842500000025,5.160797800000068
COD_Bas-Uele_Buta_Ango_Buye,Bas-Uele,Buta,Ango,Buye,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_FA715E5345,2025,CIESIN,multiple data sources,Bas-Uele_001,0.915713996216555,0.037637501042050,26.700455100000056,3.810007999000049,26.977442176000068,4.033309132000056
COD_Bas-Uele_Buta_Ango_Dakwa,Bas-Uele,Buta,Ango,Dakwa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_C9F8DA074C,2025,CIESIN,multiple data sources,Bas-Uele_001,2.071974972985917,0.128879468783176,26.097014054000056,3.787866700000052,26.562888299000065,4.451529137000023
COD_Bas-Uele_Buta_Ango_Digba,Bas-Uele,Buta,Ango,Digba,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_5CD9403B04,2025,CIESIN,multiple data sources,Bas-Uele_001,3.337187256332621,0.169712627002758,25.537965829000029,4.193156584000064,26.483421400000054,4.658413659000075
COD_Bas-Uele_Buta_Ango_Disolo,Bas-Uele,Buta,Ango,Disolo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_5009D5C1B7,2025,CIESIN,multiple data sources,Bas-Uele_001,0.880812173254753,0.035755326868923,26.035173303000079,3.660692600000061,26.343429367000056,3.884394908000047
COD_Bas-Uele_Buta_Ango_Ebale,Bas-Uele,Buta,Ango,Ebale,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_850DB1C572,2025,CIESIN,multiple data sources,Bas-Uele_001,2.734897902372742,0.239700021325857,24.745816010000055,4.465295901000047,25.574734370000044,4.987910400000032
COD_Bas-Uele_Buta_Ango_Mainika,Bas-Uele,Buta,Ango,Mainika,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_BFA8A1CA46,2025,CIESIN,multiple data sources,Bas-Uele_001,1.290590045866909,0.063038479354499,26.883372250000036,3.818523131000063,27.302798000000053,4.072614003000069
COD_Bas-Uele_Buta_Ango_Makpoyo,Bas-Uele,Buta,Ango,Makpoyo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_045D97D367,2025,CIESIN,multiple data sources,Bas-Uele_001,1.334039000902183,0.070525180117635,25.228607239000041,4.322060216000068,25.788622955000051,4.539416862000053
COD_Bas-Uele_Buta_Ango_Mbabi,Bas-Uele,Buta,Ango,Mbabi,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_6E6AF150CE,2025,CIESIN,multiple data sources,Bas-Uele_001,1.104930190571062,0.064481267238045,25.622260688000040,3.522546400000067,25.930313678000061,3.849788323000041
COD_Bas-Uele_Buta_Ango_Mbibili,Bas-Uele,Buta,Ango,Mbibili,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_76B45E1E60,2025,CIESIN,multiple data sources,Bas-Uele_001,1.179591586634579,0.049093679137925,25.476545681000061,3.542033111000023,25.707996881000042,3.947198001000061
COD_Bas-Uele_Buta_Ango_Mboti,Bas-Uele,Buta,Ango,Mboti,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_DC38FC63F4,2025,CIESIN,multiple data sources,Bas-Uele_001,0.940610176817033,0.026445482641504,25.605130411000061,3.842107361000046,25.848582425000075,4.056121800000028
COD_Bas-Uele_Buta_Ango_Mugalie,Bas-Uele,Buta,Ango,Mugalie,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_B82E02CBAB,2025,CIESIN,multiple data sources,Bas-Uele_001,1.109078375283443,0.054078632015874,26.679155771000069,4.009562109000058,27.038930600000072,4.332807576000050
COD_Bas-Uele_Buta_Ango_Ndamana,Bas-Uele,Buta,Ango,Ndamana,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_EB835B494F,2025,CIESIN,multiple data sources,Bas-Uele_001,2.394260722952287,0.112541280561066,25.072962801000074,4.711078912000062,25.662201000000039,5.093900700000063
COD_Bas-Uele_Buta_Ango_Samungu,Bas-Uele,Buta,Ango,Samungu,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_65B533107A,2025,CIESIN,multiple data sources,Bas-Uele_001,2.681104256538319,0.101823479966229,26.190224400000034,4.156887808000022,26.817791787000033,4.508146900000042
COD_Bas-Uele_Buta_Ango_Sangwa,Bas-Uele,Buta,Ango,Sangwa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_ACCB7289C7,2025,CIESIN,multiple data sources,Bas-Uele_001,1.162586827326067,0.055570266903094,26.471764463000056,3.972557277000021,26.826886346000038,4.227438243000051
COD_Bas-Uele_Buta_Ango_Yassa,Bas-Uele,Buta,Ango,Yassa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_F6426306B9,2025,CIESIN,multiple data sources,Bas-Uele_001,2.161388513134940,0.123479588669229,25.549188353000034,3.946185987000035,26.119711199000051,4.433490200000051
COD_Bas-Uele_Buta_Ango_Zamoy,Bas-Uele,Buta,Ango,Zamoy,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Ango,COD,BU_0CD91CE8E8,2025,CIESIN,multiple data sources,Bas-Uele_001,1.456279762106460,0.076068711690749,26.743237618000023,4.204636480000033,27.125374906000047,4.528489900000068
COD_Bas-Uele_Buta_Bili_Api-2,Bas-Uele,Buta,Bili,Api 2,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_2F1FBAFF8F,2025,CIESIN,multiple data sources,Bas-Uele_001,2.264749174244640,0.151568564419205,25.106034456000032,3.441589706000059,25.618817242000034,4.098372797000025
COD_Bas-Uele_Buta_Bili_Bambilo,Bas-Uele,Buta,Bili,Bambilo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_853F017188,2025,CIESIN,multiple data sources,Bas-Uele_001,1.590158008602606,0.066557693294511,24.544818143000043,3.733214240000052,25.022634226000037,4.017842700000074
COD_Bas-Uele_Buta_Bili_Basokpio,Bas-Uele,Buta,Bili,Basokpio,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_856B2FBF77,2025,CIESIN,multiple data sources,Bas-Uele_001,2.259940571192961,0.200331636886425,24.247110015000032,4.415239859000053,24.779051203000051,5.113439100000051
COD_Bas-Uele_Buta_Bili_Bika,Bas-Uele,Buta,Bili,Bika,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_E6D63E2355,2025,CIESIN,multiple data sources,Bas-Uele_001,2.489838564341134,0.200633382631520,24.194094156000062,3.735659236000060,24.836840200000040,4.343605700000069
COD_Bas-Uele_Buta_Bili_Bulumasi,Bas-Uele,Buta,Bili,Bulumasi,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_43BD3D1C4B,2025,CIESIN,multiple data sources,Bas-Uele_001,1.803533722358881,0.117499351669986,24.523057356000038,4.303030961000047,24.950693055000045,4.912398400000029
COD_Bas-Uele_Buta_Bili_Dumobata,Bas-Uele,Buta,Bili,Dumobata,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_73D9F036DD,2025,CIESIN,multiple data sources,Bas-Uele_001,1.541883513159988,0.100581261277012,25.083872304000067,4.087007166000035,25.564258964000032,4.423925814000029
COD_Bas-Uele_Buta_Bili_Gitalio,Bas-Uele,Buta,Bili,Gitalio,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_8AEE16435F,2025,CIESIN,multiple data sources,Bas-Uele_001,1.177595851475820,0.068391252094704,24.632274530000075,4.249552478000055,25.069216113000039,4.593670205000024
COD_Bas-Uele_Buta_Bili_Gumbu,Bas-Uele,Buta,Bili,Gumbu,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_DE6DAEF4C2,2025,CIESIN,multiple data sources,Bas-Uele_001,2.045087026975309,0.127371867622310,24.674352423000073,3.996424100000070,25.249439372000040,4.531059414000026
COD_Bas-Uele_Buta_Bili_Mangoli,Bas-Uele,Buta,Bili,Mangoli,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_34BA10E5D4,2025,CIESIN,multiple data sources,Bas-Uele_001,1.944629258268488,0.140723086024462,24.250594900000067,3.460834700000021,24.955793636000067,3.789820705000068
COD_Bas-Uele_Buta_Bili_Mboma-2,Bas-Uele,Buta,Bili,Mboma 2,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_17B8546238,2025,CIESIN,multiple data sources,Bas-Uele_001,0.942493646215553,0.024996745003125,24.848836122000023,3.401208121000025,25.161360189000050,3.625994372000036
COD_Bas-Uele_Buta_Bili_Mumbu,Bas-Uele,Buta,Bili,Mumbu,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_5C3055A1AE,2025,CIESIN,multiple data sources,Bas-Uele_001,1.657172672147991,0.083854216824658,24.944552777000069,3.869538820000059,25.457881980000025,4.188969619000034
COD_Bas-Uele_Buta_Bili_Roa,Bas-Uele,Buta,Bili,Roa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bili,COD,BU_8B8662BE91,2025,CIESIN,multiple data sources,Bas-Uele_001,1.591608543037337,0.132783552014604,24.707038451000074,3.488007293000067,25.169977028000062,3.974327479000067
COD_Bas-Uele_Buta_Bondo_Baye,Bas-Uele,Buta,Bondo,Baye,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_061A1D19B9,2025,CIESIN,multiple data sources,Bas-Uele_001,0.724742564807709,0.026461141136263,23.640947300000050,4.254158821000033,23.833782183000039,4.452509017000068
COD_Bas-Uele_Buta_Bondo_Dekere,Bas-Uele,Buta,Bondo,Dekere,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_279275C980,2025,CIESIN,multiple data sources,Bas-Uele_001,0.668935306169822,0.024963382506625,23.408360344000073,3.816391668000051,23.628840231000027,4.011834662000069
COD_Bas-Uele_Buta_Bondo_Dengu,Bas-Uele,Buta,Bondo,Dengu,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_B69D32768D,2025,CIESIN,multiple data sources,Bas-Uele_001,3.292570266902124,0.256022785962326,23.873215600000037,4.250893800000028,24.544425925000041,4.958060300000056
COD_Bas-Uele_Buta_Bondo_Efolu,Bas-Uele,Buta,Bondo,Efolu,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_6D2AE6E18F,2025,CIESIN,multiple data sources,Bas-Uele_001,0.739434769850192,0.012774038462227,23.717147220000072,3.751054064000073,23.910819807000053,3.945456740000054
COD_Bas-Uele_Buta_Bondo_Eganda,Bas-Uele,Buta,Bondo,Eganda,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_78173D6D8A,2025,CIESIN,multiple data sources,Bas-Uele_001,1.141488178203889,0.051224768645288,23.319336549000070,3.536719480000045,23.688137936000032,3.861951800000043
COD_Bas-Uele_Buta_Bondo_Gatanga,Bas-Uele,Buta,Bondo,Gatanga,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_62B307D7C4,2025,CIESIN,multiple data sources,Bas-Uele_001,0.920806910101658,0.031615253780509,23.492787961000033,3.860863107000057,23.776106728000059,4.093197406000058
COD_Bas-Uele_Buta_Bondo_Kpakana,Bas-Uele,Buta,Bondo,Kpakana,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_4C018E3B22,2025,CIESIN,multiple data sources,Bas-Uele_001,1.574182498562006,0.086675638839818,23.718278493000071,3.585540030000061,24.278156200000069,3.838872700000024
COD_Bas-Uele_Buta_Bondo_Kpete,Bas-Uele,Buta,Bondo,Kpete,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_94385BE6A6,2025,CIESIN,multiple data sources,Bas-Uele_001,1.674228998331959,0.090725193055811,23.272294562000070,4.348746561000041,23.781844407000051,4.778357168000070
COD_Bas-Uele_Buta_Bondo_Kule,Bas-Uele,Buta,Bondo,Kule,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_9E5B536AC3,2025,CIESIN,multiple data sources,Bas-Uele_001,1.287809211606500,0.071255282154749,23.233399283000040,4.238694500000065,23.667770538000070,4.511354866000033
COD_Bas-Uele_Buta_Bondo_Lakpa,Bas-Uele,Buta,Bondo,Lakpa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_20F26DD4A0,2025,CIESIN,multiple data sources,Bas-Uele_001,0.592463145668977,0.012537975747018,23.445316407000064,4.215197900000021,23.649780282000052,4.319341025000028
COD_Bas-Uele_Buta_Bondo_Likungu,Bas-Uele,Buta,Bondo,Likungu,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_8F30F177AD,2025,CIESIN,multiple data sources,Bas-Uele_001,0.964086701284858,0.033551701941982,23.534839424000040,3.520889100000034,23.817636494000055,3.799317572000064
COD_Bas-Uele_Buta_Bondo_Masabe,Bas-Uele,Buta,Bondo,Masabe,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_55279F6B22,2025,CIESIN,multiple data sources,Bas-Uele_001,1.560252213492389,0.071129199971873,23.393703400000049,4.066662563000023,23.899438415000077,4.286447100000032
COD_Bas-Uele_Buta_Bondo_Mokozo,Bas-Uele,Buta,Bondo,Mokozo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_68D6CBABCB,2025,CIESIN,multiple data sources,Bas-Uele_001,1.420558501093899,0.084090764338073,23.202011002000063,3.809254809000038,23.548190375000047,4.271278601000063
COD_Bas-Uele_Buta_Bondo_Ntongo-Etan,Bas-Uele,Buta,Bondo,Ntongo Etan,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_B1EB35D009,2025,CIESIN,multiple data sources,Bas-Uele_001,0.375884495061237,0.003821991363436,23.655826400000024,3.810181727000042,23.792405642000062,3.887168295000038
COD_Bas-Uele_Buta_Bondo_Nungba,Bas-Uele,Buta,Bondo,Nungba,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_193EE655A8,2025,CIESIN,multiple data sources,Bas-Uele_001,1.536027377473469,0.084784841693992,23.698522251000043,4.364533400000028,24.046458552000047,4.834795401000065
COD_Bas-Uele_Buta_Bondo_Panzaka,Bas-Uele,Buta,Bondo,Panzaka,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_4817AD38BD,2025,CIESIN,multiple data sources,Bas-Uele_001,0.288888834512100,0.001461150121055,23.636716452000030,3.778050859000075,23.731553133000034,3.841211039000029
COD_Bas-Uele_Buta_Bondo_Sambili,Bas-Uele,Buta,Bondo,Sambili,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_BE9D682EBB,2025,CIESIN,multiple data sources,Bas-Uele_001,0.540475122010425,0.009160170123945,23.597490925000045,4.414779127000031,23.773815906000038,4.526141316000064
COD_Bas-Uele_Buta_Bondo_Sasa,Bas-Uele,Buta,Bondo,Sasa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_E858EF94F3,2025,CIESIN,multiple data sources,Bas-Uele_001,0.980775930735965,0.042152667088577,23.877348488000052,3.810955501000024,24.113260610000054,4.046638600000051
COD_Bas-Uele_Buta_Bondo_Silingbi,Bas-Uele,Buta,Bondo,Silingbi,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_D498609284,2025,CIESIN,multiple data sources,Bas-Uele_001,2.471028824892749,0.111290225156130,23.815186338000046,4.041631692000067,24.416111308000040,4.455688847000033
COD_Bas-Uele_Buta_Bondo_Tomibikisa,Bas-Uele,Buta,Bondo,Tomibikisa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_DE5CA71C81,2025,CIESIN,multiple data sources,Bas-Uele_001,1.244886431435700,0.037316106485168,23.614698624000027,3.825716294000074,23.903495819000057,4.112637465000034
COD_Bas-Uele_Buta_Bondo_Yakpa,Bas-Uele,Buta,Bondo,Yakpa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Bondo,COD,BU_5D59D60DEE,2025,CIESIN,multiple data sources,Bas-Uele_001,1.783299957045085,0.075916015795076,23.871445600000072,3.815197207000040,24.321188162000055,4.198228017000076
COD_Bas-Uele_Buta_Buta_Bale,Bas-Uele,Buta,Buta,Bale,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Buta,COD,BU_F0E56D0726,2025,CIESIN,multiple data sources,Bas-Uele_001,0.847929886717809,0.013707855920495,24.780689214000063,2.819684971000072,24.884921641000062,3.124422579000054
