pagename_antenne,province,antenne,pagename_province,iso3,zonesante,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.003122366955007,0.000000584653336,25.498821721000070,-10.716316506999931,25.499619469000038,-10.715244447999964
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.004262291793689,0.000001015390891,25.484858416000066,-10.711260259999960,25.486389017000079,-10.710179403999973
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.040211099909603,0.000034995644461,25.502389270000037,-10.719443914999943,25.510873396000079,-10.709354886999961
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.017805515218897,0.000017133960396,25.473490539000068,-10.706764339999950,25.479837752000037,-10.702520472999936
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.030132593419800,0.000045015323287,25.464461825000058,-10.691922488999978,25.475578300000052,-10.686264899999969
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.034854533408331,0.000051547216210,25.463685757000064,-10.518755128999942,25.475218319000078,-10.509367554999926
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.036431541450054,0.000061861089107,25.411862618000043,-10.306123184999933,25.422009191000029,-10.296034045999932
COD_Haut-Katanga_Lubumbashi,Haut-Katanga,Lubumbashi,COD_Haut-Katanga,COD,Kafubu,,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,26.214777807725820,6.269316946586825,27.011431753000068,-13.455995875999974,29.810976776000075,-7.611719151999978
COD_Haut-Lomami_Kabondo-Dianda,Haut-Lomami,Kabondo Dianda,COD_Haut-Lomami,COD,Bukama,,2025,CIESIN GRID3,multiple data sources,Haut-Lomami_001,11.454360862841433,2.766238070586827,25.494648723000068,-9.727917063999939,27.856542249000029,-7.355172959999948
COD_Haut-Lomami_Kamina,Haut-Lomami,Kamina,COD_Haut-Lomami,COD,Baka,,2025,CIESIN GRID3,multiple data sources,Haut-Lomami_001,18.807998312941624,6.195761628705701,23.634374761000061,-10.123997386999974,26.423240930000077,-6.174958805999950
