pagename_province,province,iso3,antenne,zonesante,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.012906877231307,0.000010679604200,30.360060600000054,1.291192000000024,30.364572100000032,1.294967500000041
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.023772456906156,0.000018897934230,30.361254199000030,1.293380100000036,30.371140800000035,1.297689300000059
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.007063473677298,0.000003480848443,30.371191800000076,1.296160799000063,30.372935200000029,1.298877200000049
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.010532024791859,0.000004956882783,30.371328600000027,1.301100200000064,30.375689900000054,1.303130100000033
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.006733856101111,0.000002557309708,30.375582600000030,1.304100800000072,30.378189700000064,1.305934900000068
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.004435912515778,0.000001024781954,30.378334500000051,1.305433500000049,30.379992100000038,1.306717900000024
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.002427295936386,0.000000378142128,30.381102600000077,1.306656300000043,30.382062800000028,1.307208700000047
COD_Ituri,Ituri,COD,Aru,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,19.888544010888278,5.152307576095230,27.365754422000066,0.519618301000037,31.277242200000046,3.683436000000029
COD_Kasai,Kasaï,COD,Mweka,Bulape,,2024,CIESIN GRID3,multiple data sources,Kasaï_001,18.976799843482514,7.957200693717798,19.676605721000044,-7.293385230999945,22.536724800000059,-2.309695465999937
COD_Kasai-Central,Kasaï-Central,COD,Kananga,Bena Leka,,2024,CIESIN GRID3,multiple data sources,Kasaï-Central_001,15.413782935235293,4.678948125310761,21.406870749000063,-7.906969556999968,23.799501599000052,-4.201700417999973
COD_Kasai-Oriental,Kasaï-Oriental,COD,Mbuji-Mayi,Bibanga,,2024,CIESIN GRID3,multiple data sources,Kasaï-Oriental_001,6.111228084256039,0.798395473996313,22.944409491000044,-6.773609818999944,24.061846653000032,-5.667474116999927
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005006225478137,0.000001335060581,15.443755115000044,-4.348595683999974,15.445325559000025,-4.346870573999979
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.004776173322182,0.000001205155857,15.445872836000035,-4.343812967999952,15.446848415000034,-4.341784476999976
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.004244919790029,0.000001107029639,15.446743717000061,-4.340653042999975,15.448052421000057,-4.339153982999960
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.015092742211615,0.000004394666571,15.499666417000071,-4.320810759999972,15.505329048000021,-4.316245389999949
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005333761377057,0.000001211407848,15.506390490000058,-4.315711503999978,15.508337307000033,-4.314051749999976
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.007396532832972,0.000002938458877,15.511283085000059,-4.307532823999964,15.512521824000032,-4.304451539999945
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.012099099766775,0.000004296672113,15.509275624000054,-4.305519675999960,15.512814675000072,-4.301133925999977
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.008308439346666,0.000003366702599,15.518360675000054,-4.302492324999946,15.520071863000055,-4.299055383999928
