pagename_zonesante,province,antenne,zonesante,pagename_province,pagename_antenne,iso3,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Equateur_Mbandaka_Iboko,Equateur,Mbandaka,Iboko,COD_Equateur,COD_Equateur_Mbandaka,COD,QltsFPvfG7J,2025,CIESIN GRID3,multiple data sources,Equateur_001,2.825703274117920,0.239975470758724,18.227224246000048,-1.229951496999945,18.895481325000048,-0.568093600999930
COD_Equateur_Mbandaka_Ingende,Equateur,Mbandaka,Ingende,COD_Equateur,COD_Equateur_Mbandaka,COD,ER2ozdS2Ysm,2025,CIESIN GRID3,multiple data sources,Equateur_001,3.870504896147151,0.471171329438489,18.408980605000067,-0.856735970999978,19.282028630000070,0.059094486000049
COD_Equateur_Mbandaka_Irebu,Equateur,Mbandaka,Irebu,COD_Equateur,COD_Equateur_Mbandaka,COD,p40o8g3kdQL,2025,CIESIN GRID3,multiple data sources,Equateur_001,2.404319527617781,0.190627231223264,17.393184326000039,-1.190383410999971,17.946505905000038,-0.409994950999931
COD_Equateur_Mbandaka_Lilanga-Bobangi,Equateur,Mbandaka,Lilanga Bobangi,COD_Equateur,COD_Equateur_Mbandaka,COD,N1S6mK9QTE5,2025,CIESIN GRID3,multiple data sources,Equateur_001,5.078880783114920,0.429720181505730,17.645557159000077,-0.504034223999952,18.358956567000064,0.944269856000062
COD_Equateur_Mbandaka_Lotumbe,Equateur,Mbandaka,Lotumbe,COD_Equateur,COD_Equateur_Mbandaka,COD,CeO42blQ92C,2025,CIESIN GRID3,multiple data sources,Equateur_001,5.529950705525099,0.808929354766239,19.138832526000044,-1.370187889999954,20.368566400000077,-0.220356026999980
COD_Equateur_Mbandaka_Lukolela,Equateur,Mbandaka,Lukolela,COD_Equateur,COD_Equateur_Mbandaka,COD,hH0vfyk0M5B,2025,CIESIN GRID3,multiple data sources,Equateur_001,4.064272724009535,0.567359126121683,16.598356035000052,-2.040874182999971,17.642397322000022,-0.905958025999951
COD_Equateur_Mbandaka_Makanza,Equateur,Mbandaka,Makanza,COD_Equateur,COD_Equateur_Mbandaka,COD,nXXpnAQ8M3v,2025,CIESIN GRID3,multiple data sources,Equateur_001,5.347052311182727,0.700067761677916,18.232869995000044,0.786823309000056,19.897085004000076,2.126394685000037
COD_Equateur_Mbandaka_Mampoko,Equateur,Mbandaka,Mampoko,COD_Equateur,COD_Equateur_Mbandaka,COD,pBzecjfopeA,2025,CIESIN GRID3,multiple data sources,Equateur_001,4.164858606683497,0.356770360414786,18.241447373000028,0.083705094000038,19.223359928000036,1.244390595000027
COD_Equateur_Mbandaka_Mbandaka,Equateur,Mbandaka,Mbandaka,COD_Equateur,COD_Equateur_Mbandaka,COD,DmRUZqBRNzB,2025,CIESIN GRID3,multiple data sources,Equateur_001,2.469051314906298,0.123467830809799,18.203761463000035,-0.123512524999967,18.675416659000064,0.664225818000034
COD_Equateur_Mbandaka_Monieka,Equateur,Mbandaka,Monieka,COD_Equateur,COD_Equateur_Mbandaka,COD,FXSygz18Lfk,2025,CIESIN GRID3,multiple data sources,Equateur_001,4.440072631557556,0.582454427567846,19.374216887000046,-0.349423120999973,20.622872723000057,0.405292562000056
COD_Equateur_Mbandaka_Ntondo,Equateur,Mbandaka,Ntondo,COD_Equateur,COD_Equateur_Mbandaka,COD,Tt7ZtAGLNOp,2025,CIESIN GRID3,multiple data sources,Equateur_001,3.024165335276387,0.264494134605949,17.536931736000042,-1.482414140999936,18.351375691000044,-0.707666869999969
COD_Equateur_Mbandaka_Wangata,Equateur,Mbandaka,Wangata,COD_Equateur,COD_Equateur_Mbandaka,COD,J0LvPM9HPVN,2025,CIESIN GRID3,multiple data sources,Equateur_001,0.894413679120920,0.016181898844612,18.157000065000034,0.004207328000064,18.274487974000067,0.323695710000038
COD_Haut-Katanga_Likasi_Kambove,Haut-Katanga,Likasi,Kambove,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,NR5cDy2jhiJ,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,3.491850553552267,0.218329258679828,26.338079159000074,-11.190027655999927,27.110530404000031,-10.488149083999929
COD_Haut-Katanga_Likasi_Kapolowe,Haut-Katanga,Likasi,Kapolowe,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,bAFJ18IAf2S,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,4.925083537318242,0.458772521004421,26.650100570000063,-11.538221514999975,27.532352974000048,-10.561777067999969
COD_Haut-Katanga_Likasi_Kikula,Haut-Katanga,Likasi,Kikula,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,Q22qlkhPQDO,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.297882531936029,0.003679489997485,26.651650321000034,-10.991079507999928,26.740761615000054,-10.919338576999962
COD_Haut-Katanga_Likasi_Kilela-Balanda,Haut-Katanga,Likasi,Kilela Balanda,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,Kth7MQGYcrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,8.370469337228483,1.132810159483608,25.486818900000060,-12.009016868999936,27.218331067000065,-10.828028082999936
COD_Haut-Katanga_Likasi_Likasi,Haut-Katanga,Likasi,Likasi,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,fQLRnttyYlx,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.377151148762631,0.003890880548781,26.714352735000034,-11.015076292999936,26.794685787000049,-10.919017874999952
COD_Haut-Katanga_Likasi_Mitwaba,Haut-Katanga,Likasi,Mitwaba,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,rYWmyhhl1LP,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,5.720825286069996,0.799949777858726,26.710749966000037,-9.207718342999954,27.992895576000024,-8.073575940999945
COD_Haut-Katanga_Likasi_Mufunga-Sampwe,Haut-Katanga,Likasi,Mufunga Sampwe,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,qzQdkny6PZ4,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,7.104962824144805,1.281935792986766,26.330720619000033,-10.147250957999972,27.968385716000057,-8.847407255999940
COD_Haut-Katanga_Likasi_Panda,Haut-Katanga,Likasi,Panda,COD_Haut-Katanga,COD_Haut-Katanga_Likasi,COD,EofZhh5yYMG,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,1.081912462294295,0.013017166674977,26.634490011000025,-11.045971612999949,26.893486232000043,-10.940901825999958
COD_Haut-Katanga_Lubumbashi_Kafubu,Haut-Katanga,Lubumbashi,Kafubu,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,GpdRlogsSiE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,5.638562955229997,0.637096821049602,27.532588514000054,-12.095572503999961,28.518030931000055,-10.957375629999945
